Date,Open,High,Low,Close,Volume
08/03/1999,"57.21","57.22","55.25","56.07","13,005,000"
08/02/1999,"56.69","57.81","56.22","56.44","9,642,400"
07/30/1999,"57.13","57.75","56.51","56.59","10,947,400"
07/29/1999,"57.03","57.50","56.31","56.88","13,033,800"
07/28/1999,"57.69","58.44","56.95","58.12","10,161,800"
07/27/1999,"57.00","57.88","56.52","57.00","13,732,800"
07/26/1999,"56.50","57.13","55.78","55.88","10,720,000"
07/23/1999,"57.63","57.87","56.69","57.28","12,115,000"
07/22/1999,"58.69","58.69","57.03","57.20","15,148,400"
07/21/1999,"58.53","59.20","58.06","58.69","10,980,400"
07/20/1999,"60.01","60.09","58.25","58.41","14,837,400"
07/19/1999,"61.63","61.63","60.51","60.75","6,833,000"
07/16/1999,"60.84","61.72","60.82","61.38","4,913,800"
07/15/1999,"60.47","60.81","60.13","60.81","6,539,800"
07/14/1999,"59.84","60.38","59.00","60.26","6,909,400"
07/13/1999,"59.25","59.47","58.78","59.25","6,230,000"
07/12/1999,"60.06","60.38","59.19","59.53","7,816,200"
07/09/1999,"59.47","59.91","59.03","59.84","4,191,200"
07/08/1999,"58.47","59.49","58.19","59.25","11,225,000"
07/07/1999,"58.34","58.72","57.94","58.47","10,520,000"
07/06/1999,"59.06","59.66","58.06","58.38","8,794,800"
07/02/1999,"58.00","58.81","58.00","58.75","3,302,000"
07/01/1999,"57.81","58.34","56.81","58.02","6,822,600"
06/30/1999,"56.80","59.94","56.13","57.63","19,467,600"
06/29/1999,"55.94","56.97","55.66","56.75","9,000,400"
06/28/1999,"55.16","56.06","54.70","55.98","7,666,200"
06/25/1999,"55.13","55.56","54.19","54.69","8,635,600"
06/24/1999,"55.84","55.88","54.50","54.76","14,988,800"
06/23/1999,"55.01","56.00","54.66","55.87","9,607,000"
06/22/1999,"56.38","57.09","55.00","55.00","10,862,800"
06/21/1999,"55.44","56.74","55.34","56.71","10,565,200"
06/18/1999,"54.31","55.22","54.22","55.06","5,392,800"
06/17/1999,"53.50","55.06","53.50","54.81","16,278,200"
06/16/1999,"52.84","54.21","52.78","54.21","15,060,200"
06/15/1999,"50.93","51.87","50.78","51.56","9,147,800"
06/14/1999,"51.97","51.97","50.69","50.80","14,136,800"
06/11/1999,"52.94","52.99","51.31","51.78","16,567,600"
06/10/1999,"52.63","52.94","51.95","52.58","9,392,400"
06/09/1999,"52.50","53.34","52.47","53.19","8,384,400"
06/08/1999,"53.78","54.03","52.04","52.31","8,134,800"
06/07/1999,"52.93","53.99","52.81","53.66","11,491,800"
06/04/1999,"51.38","52.74","51.38","52.56","12,987,200"
06/03/1999,"52.13","52.13","50.69","51.00","11,147,800"
06/02/1999,"50.84","52.00","49.57","51.73","11,996,600"
06/01/1999,"51.94","52.19","50.59","50.88","6,960,200"
05/28/1999,"51.50","52.31","50.84","52.03","12,969,800"
05/27/1999,"51.03","51.93","50.38","51.19","23,334,800"
05/26/1999,"50.50","51.44","48.94","51.23","26,772,000"
05/25/1999,"51.47","52.22","49.63","49.84","17,771,200"
05/24/1999,"52.97","53.06","51.19","51.53","9,569,800"
05/21/1999,"53.53","53.69","52.59","52.88","10,471,600"
05/20/1999,"54.99","54.99","53.28","53.37","5,997,200"
05/19/1999,"54.34","54.91","53.50","54.88","7,985,600"
05/18/1999,"54.31","54.63","53.50","54.13","9,267,800"
05/17/1999,"52.94","54.53","52.41","54.37","9,906,800"
05/14/1999,"53.38","54.00","53.00","53.41","12,205,400"
05/13/1999,"55.91","56.00","54.19","54.44","9,864,000"
05/12/1999,"54.59","55.66","53.00","55.47","12,507,400"
05/11/1999,"53.94","54.63","53.63","54.34","8,800,800"
05/10/1999,"53.31","53.86","52.69","53.50","10,604,200"
05/07/1999,"52.69","53.13","51.56","52.97","16,430,400"
05/06/1999,"53.69","54.16","51.72","52.22","15,173,400"
05/05/1999,"52.63","54.19","51.03","54.19","12,642,600"
05/04/1999,"53.53","54.38","52.28","52.59","15,428,400"
05/03/1999,"53.56","53.78","52.54","53.44","11,109,800"
04/30/1999,"54.13","54.41","51.81","53.72","15,295,200"
04/29/1999,"53.56","53.88","52.25","53.38","19,148,200"
04/28/1999,"55.25","55.44","53.57","53.81","7,676,800"
04/27/1999,"57.00","57.28","55.01","55.72","16,482,800"
04/26/1999,"55.69","57.00","55.51","56.59","5,421,000"
04/23/1999,"54.31","55.72","53.75","55.31","7,064,400"
04/22/1999,"53.66","54.75","53.30","54.59","13,630,600"
04/21/1999,"51.13","53.19","50.44","53.16","10,940,400"
04/20/1999,"49.31","51.06","48.84","50.66","17,413,600"
04/19/1999,"52.31","52.75","49.01","49.53","19,460,600"
04/16/1999,"53.41","53.41","51.69","51.97","17,274,000"
04/15/1999,"53.00","53.62","51.13","53.53","17,650,600"
04/14/1999,"55.38","55.44","52.51","52.81","21,253,800"
04/13/1999,"55.78","55.91","54.25","54.69","9,962,200"
04/12/1999,"54.50","55.81","54.44","55.44","10,934,000"
04/09/1999,"55.38","55.94","55.22","55.81","4,946,800"
04/08/1999,"54.94","55.73","53.81","55.47","7,952,400"
04/07/1999,"56.13","56.25","53.84","55.03","11,923,600"
04/06/1999,"55.44","56.22","54.97","55.61","7,522,400"
04/05/1999,"54.43","55.58","54.09","55.50","5,697,200"
04/01/1999,"54.00","54.06","52.69","53.56","8,715,800"
03/31/1999,"54.13","54.19","52.31","52.47","8,256,600"
03/30/1999,"53.56","54.00","53.03","53.25","4,940,600"
03/29/1999,"52.38","53.66","52.06","53.63","5,113,800"
03/26/1999,"51.88","52.47","51.53","51.75","8,256,200"
03/25/1999,"51.25","52.31","50.91","52.31","8,133,800"
03/24/1999,"49.25","50.50","48.50","50.47","8,447,000"
03/23/1999,"50.31","50.50","48.72","48.81","10,962,400"
03/22/1999,"51.44","51.56","50.50","50.59","5,024,800"
03/19/1999,"53.25","53.25","51.19","51.22","7,160,400"
03/18/1999,"51.50","52.59","51.48","52.56","4,848,400"
03/17/1999,"51.94","52.00","51.41","51.56","3,965,000"
03/16/1999,"51.72","52.16","51.16","51.94","4,905,800"
03/15/1999,"50.44","51.56","49.91","51.50","6,369,000"
03/12/1999,"51.13","51.16","49.66","50.06","8,743,600"
03/11/1999,"51.44","51.73","50.31","51.31","9,688,600"
03/10/1999,"51.06","51.16","50.28","51.06","5,232,200"
