Date,Open,High,Low,Close,Volume
08/11/2016,"117.01","117.37","116.78","117.12","12,969,800"
08/10/2016,"116.96","117.02","116.31","116.62","14,688,410"
08/09/2016,"116.73","117.29","116.67","116.92","13,276,460"
08/08/2016,"116.82","116.87","116.28","116.65","12,358,180"
08/05/2016,"116.28","117.04","116.13","116.78","23,196,570"
08/04/2016,"115.32","115.78","115.03","115.67","12,835,300"
08/03/2016,"114.88","115.35","114.80","115.34","15,011,270"
08/02/2016,"115.68","115.77","114.22","114.96","21,278,381"
08/01/2016,"115.31","118.78","115.17","115.84","13,990,080"
07/29/2016,"115.24","115.54","114.87","115.23","22,385,320"
07/28/2016,"114.76","115.11","114.40","114.98","16,939,660"
07/27/2016,"114.76","114.88","114.10","114.58","27,646,109"
07/26/2016,"113.63","114.20","113.22","113.79","21,223,850"
07/25/2016,"113.56","113.69","113.28","113.66","12,968,090"
07/22/2016,"113.28","113.78","112.91","113.65","20,003,359"
07/21/2016,"113.52","113.74","112.87","113.18","18,885,369"
07/20/2016,"112.75","113.65","112.60","113.44","24,997,930"
07/19/2016,"112.17","112.48","111.93","112.13","18,936,699"
07/18/2016,"111.86","112.74","111.85","112.54","20,713,920"
07/15/2016,"112.22","112.30","111.55","111.80","17,999,311"
07/14/2016,"111.96","112.19","111.70","111.98","20,870,990"
07/13/2016,"111.79","111.82","111.21","111.22","21,107,760"
07/12/2016,"111.59","111.79","111.34","111.49","21,906,150"
07/11/2016,"110.68","111.34","110.66","110.93","20,218,500"
07/08/2016,"109.17","110.36","109.02","110.30","29,457,869"
07/07/2016,"108.39","108.86","108.11","108.62","19,161,750"
07/06/2016,"106.92","108.35","106.57","108.30","24,579,270"
07/05/2016,"107.58","107.66","106.84","107.42","21,167,900"
07/01/2016,"107.49","108.48","107.45","108.08","19,902,801"
06/30/2016,"106.52","107.61","106.13","107.54","36,300,820"
06/29/2016,"105.26","106.53","105.23","106.31","31,356,721"
06/28/2016,"103.33","104.51","103.30","104.46","28,260,600"
06/27/2016,"103.60","103.60","101.75","102.22","50,044,301"
06/24/2016,"104.81","106.50","104.06","104.29","68,012,727"
06/23/2016,"108.09","108.79","107.62","108.77","18,714,230"
06/22/2016,"107.58","108.19","107.15","107.24","22,724,170"
06/21/2016,"107.33","107.72","107.10","107.50","22,804,109"
06/20/2016,"107.73","108.24","107.08","107.16","20,562,770"
06/17/2016,"107.53","107.68","106.24","106.49","29,208,830"
06/16/2016,"107.17","108.14","106.50","108.04","32,079,930"
06/15/2016,"108.32","108.44","107.54","107.72","24,605,699"
06/14/2016,"107.78","108.42","107.24","108.03","24,588,510"
06/13/2016,"108.34","108.93","107.89","108.03","25,412,180"
06/10/2016,"109.20","109.40","108.56","108.94","32,965,000"
06/09/2016,"109.93","110.31","109.71","110.19","17,571,631"
06/08/2016,"110.37","110.60","109.96","110.37","14,568,700"
06/07/2016,"110.53","110.63","110.13","110.18","12,184,300"
06/06/2016,"110.25","110.75","110.07","110.46","12,502,370"
06/03/2016,"110.37","110.42","109.34","110.06","20,269,920"
06/02/2016,"110.13","110.59","109.53","110.58","15,696,620"
06/01/2016,"110.00","110.60","109.91","110.35","19,571,529"
05/31/2016,"110.28","110.51","109.78","110.34","24,366,109"
05/27/2016,"109.65","110.14","109.61","110.13","19,870,010"
05/26/2016,"109.35","109.70","109.09","109.56","21,885,869"
05/25/2016,"108.86","109.57","108.68","109.24","38,464,754"
05/24/2016,"106.92","108.59","106.89","108.46","29,931,311"
05/23/2016,"106.55","106.97","106.23","106.33","15,729,760"
05/20/2016,"105.74","106.90","105.67","106.47","29,549,580"
05/19/2016,"105.45","105.71","104.54","105.31","27,334,609"
05/18/2016,"105.29","106.43","105.04","105.86","28,177,910"
05/17/2016,"106.74","107.04","105.20","105.48","29,932,711"
05/16/2016,"105.67","107.21","105.56","106.82","18,311,859"
05/13/2016,"105.85","106.45","105.29","105.50","21,059,260"
05/12/2016,"106.68","106.74","105.14","105.89","29,196,320"
05/11/2016,"107.16","107.49","106.33","106.36","20,966,260"
05/10/2016,"106.26","107.38","106.07","107.33","21,178,850"
05/09/2016,"105.61","106.37","105.54","105.88","19,289,619"
05/06/2016,"104.51","105.60","104.40","105.58","30,758,520"
05/05/2016,"105.43","105.66","104.81","105.02","20,788,119"
05/04/2016,"105.12","105.48","104.79","105.05","27,474,500"
05/03/2016,"105.96","106.44","105.45","105.73","38,569,434"
05/02/2016,"105.97","106.87","105.55","106.72","24,813,811"
04/29/2016,"106.22","106.50","104.88","105.72","67,502,789"
04/28/2016,"107.69","108.33","106.07","106.28","29,818,160"
04/27/2016,"107.34","107.83","106.69","107.58","33,059,789"
04/26/2016,"109.20","109.39","108.12","108.45","19,118,330"
04/25/2016,"108.62","108.99","108.45","108.98","14,351,890"
04/22/2016,"109.21","109.72","108.12","108.98","39,074,000"
04/21/2016,"110.58","111.05","110.15","110.65","20,215,980"
04/20/2016,"110.54","111.15","110.17","110.64","18,078,311"
04/19/2016,"111.44","111.44","109.88","110.55","42,481,441"
04/18/2016,"110.33","111.27","110.25","111.23","17,126,090"
04/15/2016,"110.83","111.06","110.36","110.64","21,353,340"
04/14/2016,"110.00","111.33","110.00","110.92","17,199,670"
04/13/2016,"110.32","111.08","110.21","110.91","25,356,730"
04/12/2016,"108.66","109.72","108.02","109.51","28,564,090"
04/11/2016,"109.48","110.02","108.59","108.60","25,772,061"
04/08/2016,"109.77","110.02","108.62","109.00","22,897,949"
04/07/2016,"110.04","110.23","108.61","109.08","28,567,199"
04/06/2016,"109.00","110.71","108.99","110.67","25,056,029"
04/05/2016,"109.08","109.50","108.74","108.88","20,107,920"
04/04/2016,"110.31","110.44","109.68","109.94","17,162,990"
04/01/2016,"108.58","110.40","108.39","110.36","26,389,051"
03/31/2016,"109.30","109.69","109.03","109.20","21,447,240"
03/30/2016,"109.48","110.04","109.13","109.36","23,807,240"
03/29/2016,"106.93","108.90","106.73","108.83","29,963,920"
03/28/2016,"107.56","107.58","106.92","107.11","13,892,300"
03/24/2016,"106.67","107.29","106.53","107.26","19,017,260"
03/23/2016,"107.91","107.99","106.99","107.23","20,912,869"
03/22/2016,"107.18","108.37","107.16","108.12","18,840,279"
03/21/2016,"107.16","107.89","107.12","107.79","17,288,561"
03/18/2016,"107.46","107.64","106.80","107.37","37,682,289"
03/17/2016,"107.26","107.77","106.87","107.52","29,623,740"
03/16/2016,"106.37","107.86","106.34","107.58","31,693,051"
03/15/2016,"106.27","106.75","105.95","106.63","26,524,631"
03/14/2016,"106.08","106.92","106.06","106.67","25,374,910"
03/11/2016,"105.80","106.49","105.46","106.49","31,453,961"
03/10/2016,"105.31","105.86","103.31","104.66","44,997,648"
03/09/2016,"104.57","104.84","103.96","104.82","31,047,350"
03/08/2016,"104.30","105.21","103.97","104.15","28,898,529"
03/07/2016,"105.12","105.74","104.27","105.02","25,861,160"
03/04/2016,"105.76","106.35","104.97","105.67","31,655,420"
03/03/2016,"105.71","105.75","104.87","105.63","25,474,631"
03/02/2016,"105.63","105.85","105.01","105.83","29,209,760"
03/01/2016,"103.45","105.79","103.16","105.79","37,699,781"
02/29/2016,"103.31","104.10","102.50","102.50","27,553,939"
02/26/2016,"104.28","104.37","103.18","103.43","30,925,051"
02/25/2016,"102.76","103.56","101.84","103.56","29,389,320"
02/24/2016,"100.44","102.68","99.77","102.55","40,739,102"
02/23/2016,"102.67","102.96","101.51","101.58","29,869,660"
02/22/2016,"102.54","103.38","102.48","103.28","23,979,109"
02/19/2016,"100.91","101.94","100.62","101.63","28,257,920"
02/18/2016,"102.81","102.84","101.20","101.33","38,991,473"
02/17/2016,"101.01","102.64","100.70","102.50","41,766,449"
02/16/2016,"99.44","100.23","98.85","100.23","40,565,910"
02/12/2016,"97.68","98.12","96.73","98.02","49,186,488"
02/11/2016,"95.45","97.32","95.19","96.55","76,839,188"
02/10/2016,"97.50","98.69","96.62","96.69","59,421,699"
02/09/2016,"95.36","97.78","95.18","96.32","73,778,430"
02/08/2016,"96.33","97.05","94.84","96.62","91,673,055"
02/05/2016,"101.29","101.33","97.72","98.12","70,749,930"
02/04/2016,"101.35","102.46","100.44","101.65","49,321,641"
02/03/2016,"102.80","102.83","99.88","101.66","61,572,879"
02/02/2016,"103.97","103.97","101.84","102.15","44,928,090"
02/01/2016,"103.62","104.80","103.23","104.41","32,750,350"
01/29/2016,"102.00","104.17","101.94","104.13","54,245,070"
01/28/2016,"102.19","102.29","100.26","102.00","47,641,527"
01/27/2016,"102.55","102.99","100.15","100.58","54,524,738"
01/26/2016,"102.65","103.59","101.76","103.15","36,143,922"
01/25/2016,"103.46","103.99","102.14","102.23","38,881,488"
01/22/2016,"102.84","103.81","102.53","103.77","42,229,801"
01/21/2016,"101.19","102.35","99.82","100.85","61,660,102"
01/20/2016,"99.48","101.83","97.25","100.75","86,674,977"
01/19/2016,"102.20","102.37","99.88","101.06","56,563,848"
01/15/2016,"100.57","101.94","99.51","100.84","91,443,922"
01/14/2016,"102.30","104.98","100.67","104.07","78,445,742"
01/13/2016,"106.00","106.23","101.74","101.90","69,870,672"
01/12/2016,"105.31","106.08","104.08","105.54","46,734,238"
01/11/2016,"104.79","105.06","102.73","104.33","50,024,090"
01/08/2016,"105.67","106.29","103.90","104.01","69,344,008"
01/07/2016,"105.96","107.29","104.81","104.87","61,386,301"
01/06/2016,"107.43","108.89","107.41","108.26","41,891,090"
