Date,Open,High,Low,Close,Volume
08/09/2011,"51.31","53.08","49.93","53.03","193,707,109"
08/08/2011,"52.21","53.12","50.59","50.59","204,804,000"
08/05/2011,"54.79","55.03","52.32","53.83","214,111,703"
08/04/2011,"55.98","56.09","54.17","54.17","132,829,906"
08/03/2011,"56.37","56.88","55.35","56.81","103,612,305"
08/02/2011,"57.46","57.72","56.21","56.27","90,851,312"
08/01/2011,"58.67","58.82","57.03","57.73","85,421,008"
07/29/2011,"57.73","58.61","57.44","58.00","82,860,430"
07/28/2011,"58.10","58.93","57.89","58.19","61,031,801"
07/27/2011,"59.25","59.29","57.94","58.09","83,969,484"
07/26/2011,"59.44","59.83","59.32","59.63","40,918,832"
07/25/2011,"59.13","59.81","59.02","59.48","48,916,070"
07/22/2011,"58.97","59.70","58.92","59.60","43,620,359"
07/21/2011,"58.65","59.32","58.34","58.99","70,148,758"
07/20/2011,"59.18","59.19","58.50","58.60","57,084,230"
07/19/2011,"58.13","58.90","58.09","58.85","73,904,281"
07/18/2011,"57.54","57.79","56.98","57.54","59,512,191"
07/15/2011,"57.72","57.85","57.31","57.85","68,287,688"
07/14/2011,"57.93","58.18","56.87","57.09","98,773,906"
07/13/2011,"57.94","58.34","57.55","57.76","82,374,523"
07/12/2011,"57.94","58.07","57.46","57.52","84,000,656"
07/11/2011,"58.41","58.71","57.76","57.96","52,080,762"
07/08/2011,"58.70","59.04","58.37","59.03","69,533,594"
07/07/2011,"58.82","59.36","58.74","59.19","54,799,770"
07/06/2011,"58.14","58.49","57.94","58.39","49,282,641"
07/05/2011,"57.95","58.26","57.83","58.20","43,128,660"
07/01/2011,"57.10","57.99","56.92","57.91","53,203,801"
06/30/2011,"56.50","57.09","56.47","57.05","50,483,922"
06/29/2011,"56.23","56.41","55.90","56.30","65,417,191"
06/28/2011,"55.38","56.08","55.29","56.07","47,028,641"
06/27/2011,"54.43","55.53","54.32","55.25","49,968,848"
06/24/2011,"55.07","55.13","54.27","54.38","56,298,246"
06/23/2011,"54.28","55.37","54.06","55.34","80,743,297"
06/22/2011,"55.00","55.32","54.82","54.83","36,833,207"
06/21/2011,"54.26","55.29","54.03","55.23","55,892,711"
06/20/2011,"53.66","54.23","53.64","54.07","37,402,832"
06/17/2011,"54.45","54.60","53.63","53.79","70,353,109"
06/16/2011,"54.33","54.50","53.62","54.08","66,316,195"
06/15/2011,"54.83","55.15","54.18","54.29","59,022,352"
06/14/2011,"55.05","55.47","55.03","55.34","40,565,262"
06/13/2011,"54.71","54.93","54.45","54.64","37,745,770"
06/10/2011,"55.23","55.34","54.59","54.64","53,740,539"
06/09/2011,"55.37","55.76","55.23","55.49","45,307,500"
06/08/2011,"55.67","55.77","55.23","55.39","46,426,379"
06/07/2011,"56.05","56.26","55.75","55.79","46,311,059"
06/06/2011,"56.24","56.53","55.86","55.89","50,175,539"
06/03/2011,"56.56","56.99","56.27","56.35","57,773,680"
06/02/2011,"57.21","57.41","56.89","57.21","50,198,047"
06/01/2011,"58.22","58.36","57.04","57.09","51,792,340"
05/31/2011,"57.97","58.36","57.67","58.36","47,588,059"
