Date,Open,High,Low,Close,Volume
08/03/2000,"84.25","90.81","83.31","90.81","35,590,102"
08/02/2000,"87.88","90.39","86.69","86.86","23,445,199"
08/01/2000,"89.81","89.98","87.48","88.41","15,711,900"
07/31/2000,"87.63","90.13","85.72","89.50","27,316,000"
07/28/2000,"92.19","92.88","86.00","86.81","36,359,500"
07/27/2000,"93.94","95.06","91.56","91.56","25,756,600"
07/26/2000,"95.50","96.13","93.25","95.63","20,236,900"
07/25/2000,"95.63","96.73","93.81","96.08","18,997,199"
07/24/2000,"97.94","99.00","94.31","94.31","18,449,900"
07/21/2000,"98.44","99.52","97.14","97.31","14,369,400"
07/20/2000,"97.88","100.19","97.27","100.19","19,338,100"
07/19/2000,"98.31","98.94","95.66","96.63","21,262,100"
07/18/2000,"100.38","100.78","98.36","99.25","20,473,900"
07/17/2000,"100.94","102.06","99.88","101.44","12,857,900"
07/14/2000,"100.25","101.13","98.81","100.63","17,140,199"
07/13/2000,"97.94","99.75","97.13","98.94","19,404,301"
07/12/2000,"95.44","97.75","94.63","96.97","18,217,699"
07/11/2000,"94.06","95.75","92.81","93.20","14,316,400"
07/10/2000,"94.69","95.88","94.00","94.25","12,591,100"
07/07/2000,"95.00","97.00","94.44","95.41","16,488,500"
07/06/2000,"91.56","94.75","90.06","94.56","23,457,600"
07/05/2000,"93.63","93.97","90.88","91.25","16,069,500"
07/03/2000,"93.50","95.25","93.25","95.13","5,186,000"
06/30/2000,"91.81","93.95","91.31","93.19","15,065,600"
06/29/2000,"92.94","93.38","90.63","91.70","21,258,400"
06/28/2000,"92.98","95.50","92.50","93.89","19,233,801"
06/27/2000,"93.77","95.06","92.39","92.72","14,741,500"
06/26/2000,"93.06","94.42","92.00","94.19","22,073,100"
06/23/2000,"95.00","95.50","91.44","91.64","24,801,100"
06/22/2000,"98.63","99.00","94.77","94.77","21,406,600"
06/21/2000,"96.81","99.72","96.69","98.69","20,841,000"
06/20/2000,"98.25","99.69","97.19","98.39","20,876,199"
06/19/2000,"94.02","98.25","92.69","97.81","19,986,500"
06/16/2000,"94.75","95.31","93.06","94.17","21,158,500"
06/15/2000,"91.88","93.81","90.88","93.80","18,676,500"
06/14/2000,"94.88","94.88","91.56","92.16","20,239,600"
06/13/2000,"90.50","94.19","89.36","94.19","25,039,400"
06/12/2000,"94.31","94.31","90.81","91.00","16,421,301"
06/09/2000,"94.75","94.75","93.00","93.56","17,013,000"
06/08/2000,"94.63","94.88","91.63","93.00","19,308,801"
06/07/2000,"91.56","93.44","89.56","93.44","22,520,900"
06/06/2000,"93.19","95.00","90.88","91.38","23,199,000"
06/05/2000,"92.25","95.31","91.88","93.63","23,780,600"
06/02/2000,"92.63","94.11","91.88","93.25","32,238,699"
06/01/2000,"85.19","88.38","84.00","87.50","28,987,801"
05/31/2000,"84.47","86.67","82.75","83.00","29,666,801"
05/30/2000,"80.00","85.94","80.00","85.50","30,882,400"
05/26/2000,"77.75","79.25","75.75","77.69","18,199,500"
05/25/2000,"80.25","82.25","76.50","77.50","29,631,500"
05/24/2000,"75.00","79.88","72.25","79.75","49,469,602"
05/23/2000,"81.38","82.63","74.63","75.13","31,906,900"
05/22/2000,"81.63","82.25","75.58","82.00","43,876,898"
05/19/2000,"83.75","85.00","81.31","81.69","28,178,100"
05/18/2000,"89.00","89.36","85.38","85.69","19,061,100"
05/17/2000,"89.25","90.50","87.75","89.19","20,336,801"
05/16/2000,"90.00","91.50","88.06","91.06","23,826,900"
05/15/2000,"84.81","88.63","82.63","88.63","17,946,500"
05/12/2000,"85.38","87.56","84.00","84.69","17,830,801"
05/11/2000,"82.75","85.25","80.88","84.75","24,707,000"
05/10/2000,"84.38","85.44","79.50","80.00","34,814,398"
05/09/2000,"88.50","89.13","84.75","85.50","19,796,801"
05/08/2000,"90.50","90.75","87.75","88.25","13,901,100"
05/05/2000,"88.13","92.31","88.03","91.50","20,569,199"
05/04/2000,"89.00","90.75","87.63","89.13","17,749,301"
05/03/2000,"89.50","90.25","85.52","89.38","26,587,301"
05/02/2000,"94.88","95.63","89.75","90.00","20,304,600"
05/01/2000,"95.75","96.88","94.25","95.75","23,203,400"
04/28/2000,"93.56","94.75","92.13","94.50","24,826,699"
04/27/2000,"83.50","92.48","82.25","91.38","37,032,898"
04/26/2000,"90.63","92.42","87.13","87.38","25,679,699"
04/25/2000,"86.50","90.50","86.00","90.44","28,614,301"
04/24/2000,"83.44","85.25","79.88","85.00","31,245,600"
04/20/2000,"90.38","90.97","86.19","86.88","21,252,000"
04/19/2000,"92.50","93.63","89.06","89.06","28,077,900"
04/18/2000,"89.48","93.00","87.38","91.75","36,252,602"
04/17/2000,"78.02","90.00","78.00","89.00","55,386,199"
04/14/2000,"86.06","88.50","78.00","79.75","60,840,398"
04/13/2000,"92.81","96.00","88.25","89.00","46,323,801"
04/12/2000,"97.63","98.75","63.13","92.00","34,824,898"
04/11/2000,"97.13","101.50","95.75","97.73","34,495,602"
04/10/2000,"107.63","107.69","99.25","100.00","26,985,199"
04/07/2000,"104.13","107.38","102.63","106.00","20,645,301"
04/06/2000,"102.38","103.88","99.75","102.31","30,496,900"
04/05/2000,"97.50","103.94","96.25","99.00","37,005,102"
04/04/2000,"103.63","103.94","88.31","100.75","66,194,102"
04/03/2000,"107.77","109.13","100.75","103.50","31,536,600"
03/31/2000,"108.14","110.63","104.00","109.50","31,348,900"
03/30/2000,"107.25","112.75","103.50","107.25","42,319,699"
03/29/2000,"115.38","115.44","110.00","110.50","27,189,301"
03/28/2000,"116.98","117.81","114.38","115.00","18,334,100"
03/27/2000,"118.00","119.50","117.13","117.36","11,752,200"
03/24/2000,"117.48","120.50","115.02","117.88","22,062,400"
03/23/2000,"114.48","117.75","113.56","116.38","19,226,900"
