Date,Open,High,Low,Close,Volume
08/11/2015,"110.98","111.41","109.53","110.14","36,123,273"
08/10/2015,"111.01","111.81","111.00","111.57","21,500,779"
08/07/2015,"110.18","110.57","109.40","110.31","30,006,850"
08/06/2015,"112.35","112.50","109.95","110.45","42,125,398"
08/05/2015,"112.01","113.00","111.88","112.25","28,989,900"
08/04/2015,"111.55","111.75","110.93","111.39","22,132,320"
08/03/2015,"111.97","112.28","110.86","111.60","25,001,779"
07/31/2015,"112.43","112.49","111.72","111.95","22,081,730"
07/30/2015,"111.29","112.27","110.62","112.08","25,438,061"
07/29/2015,"111.37","111.79","110.94","111.55","26,714,070"
07/28/2015,"110.67","111.35","109.79","111.13","33,553,488"
07/27/2015,"110.47","110.95","109.94","110.18","35,994,840"
07/24/2015,"112.80","113.00","110.93","111.10","30,844,711"
07/23/2015,"112.73","113.10","111.91","112.20","25,698,260"
07/22/2015,"112.17","113.17","112.17","112.62","35,574,961"
07/21/2015,"114.02","114.20","113.58","113.91","35,468,871"
07/20/2015,"113.83","114.39","113.48","113.98","26,539,051"
07/17/2015,"112.84","113.59","112.65","113.59","35,926,801"
07/16/2015,"111.29","111.96","111.07","111.94","29,838,949"
07/15/2015,"110.47","110.81","110.07","110.38","28,631,539"
07/14/2015,"109.69","110.56","109.63","110.26","21,977,170"
07/13/2015,"108.58","109.63","108.57","109.54","25,780,730"
07/10/2015,"107.44","108.05","107.05","107.65","26,415,830"
07/09/2015,"107.50","107.60","106.02","106.03","28,381,039"
07/08/2015,"107.20","107.33","105.89","106.09","39,691,480"
07/07/2015,"107.82","108.07","105.83","107.97","44,230,770"
07/06/2015,"107.27","108.32","107.04","107.70","24,311,020"
07/02/2015,"108.23","108.32","107.62","107.95","20,499,449"
07/01/2015,"108.13","108.35","107.42","107.92","21,292,961"
06/30/2015,"107.49","107.72","106.74","107.07","34,809,922"
06/29/2015,"108.06","108.66","106.64","106.69","50,874,898"
06/26/2015,"109.98","110.23","108.86","109.27","32,311,680"
06/25/2015,"110.65","110.76","109.82","110.00","18,326,650"
06/24/2015,"110.66","111.13","110.19","110.22","15,815,910"
06/23/2015,"110.82","110.89","110.33","110.79","18,127,920"
