Date,Open,High,Low,Close,Volume
08/13/2018,"180.85","182.01","180.24","180.32","26,089,199"
08/10/2018,"180.68","181.22","179.84","180.52","33,818,461"
08/09/2018,"181.94","182.63","181.64","181.91","18,852,900"
08/08/2018,"181.55","182.35","181.06","182.02","22,680,750"
08/07/2018,"181.63","182.14","181.26","181.80","29,895,660"
08/06/2018,"179.97","181.19","179.74","181.14","24,808,760"
08/03/2018,"179.80","180.09","179.08","180.08","28,934,449"
08/02/2018,"175.87","179.74","175.79","179.53","47,178,230"
08/01/2018,"176.87","177.65","176.10","177.12","37,101,930"
07/31/2018,"175.75","177.13","174.82","176.45","47,285,141"
07/30/2018,"177.66","177.73","174.27","175.11","60,192,992"
07/27/2018,"181.26","181.31","176.60","177.62","59,456,090"
07/26/2018,"180.35","180.92","179.81","180.05","40,873,488"
07/25/2018,"180.36","182.93","180.29","182.82","36,022,078"
07/24/2018,"181.39","182.05","179.56","180.30","36,900,281"
07/23/2018,"178.45","179.64","177.74","179.56","22,184,721"
07/20/2018,"179.57","180.17","178.79","178.99","35,907,621"
07/19/2018,"179.34","179.88","178.82","179.03","31,094,150"
07/18/2018,"180.28","180.44","179.38","179.93","23,220,840"
07/17/2018,"177.30","180.65","177.28","180.27","31,034,080"
07/16/2018,"179.64","179.95","178.88","179.18","21,405,311"
07/13/2018,"179.42","179.90","178.95","179.61","28,067,961"
07/12/2018,"177.21","179.46","177.08","179.46","27,930,119"
07/11/2018,"175.96","177.07","175.80","176.42","30,280,551"
07/10/2018,"177.41","177.72","176.71","177.32","23,902,490"
07/09/2018,"176.49","177.23","175.82","177.19","27,362,061"
07/06/2018,"173.31","175.74","173.00","175.61","37,005,566"
07/05/2018,"171.91","173.06","171.03","172.92","31,626,199"
07/03/2018,"173.41","173.45","170.63","170.80","25,512,711"
07/02/2018,"170.04","172.85","169.67","172.80","31,770,029"
06/29/2018,"172.00","172.92","171.40","171.65","36,408,461"
06/28/2018,"169.52","171.77","169.17","171.19","46,407,711"
06/27/2018,"172.77","173.58","169.61","169.73","52,843,500"
06/26/2018,"171.99","173.06","171.37","172.07","39,008,152"
06/25/2018,"173.76","173.99","169.81","171.37","77,799,727"
06/22/2018,"176.31","176.37","174.69","175.32","30,073,189"
06/21/2018,"177.69","177.88","175.37","175.71","43,469,441"
06/20/2018,"176.79","177.98","176.65","177.25","33,038,039"
06/19/2018,"174.26","176.04","173.71","176.00","38,235,992"
06/18/2018,"175.53","176.65","174.94","176.50","31,633,189"
06/15/2018,"176.98","177.33","176.11","176.98","49,615,727"
06/14/2018,"176.62","177.89","176.50","177.60","35,915,980"
06/13/2018,"176.09","177.14","175.43","175.82","37,858,578"
06/12/2018,"175.15","176.00","174.96","175.83","22,511,830"
06/11/2018,"174.30","175.34","174.28","174.91","22,319,711"
06/08/2018,"173.57","174.88","173.18","174.44","31,780,350"
06/07/2018,"175.91","175.93","173.55","174.43","39,600,320"
06/06/2018,"175.03","175.89","174.14","175.86","25,036,650"
06/05/2018,"174.69","175.13","174.07","174.84","24,779,279"
06/04/2018,"173.16","174.34","173.07","174.30","20,459,631"
06/01/2018,"170.88","172.84","170.87","172.74","45,543,328"
05/31/2018,"170.13","171.20","169.63","170.07","35,670,953"
05/30/2018,"169.63","170.48","169.22","170.18","22,665,840"
05/29/2018,"168.91","169.92","167.96","168.97","41,220,473"
05/25/2018,"169.54","170.33","169.21","169.72","27,460,539"
05/24/2018,"169.56","169.85","167.84","169.55","27,696,539"
05/23/2018,"166.90","169.62","166.88","169.60","26,557,840"
05/22/2018,"169.15","169.45","167.88","168.18","19,477,721"
05/21/2018,"168.73","169.50","167.68","168.40","22,954,570"
05/18/2018,"167.71","168.26","167.21","167.46","26,217,939"
05/17/2018,"168.40","169.61","167.51","168.33","27,480,160"
05/16/2018,"168.10","169.37","168.01","168.98","22,941,160"
05/15/2018,"168.40","168.50","166.98","167.87","49,361,641"
05/14/2018,"169.84","170.82","169.47","169.75","21,821,750"
05/11/2018,"169.35","169.86","168.72","169.46","24,688,850"
05/10/2018,"168.43","169.74","168.29","169.62","27,067,600"
05/09/2018,"166.40","168.00","165.78","167.88","29,122,721"
05/08/2018,"165.83","166.43","164.86","166.07","26,040,170"
05/07/2018,"165.64","166.78","165.51","166.24","32,500,150"
05/04/2018,"161.11","165.25","160.98","164.87","41,543,238"
05/03/2018,"161.08","162.40","159.22","161.80","60,337,129"
05/02/2018,"163.10","163.57","161.63","161.82","38,646,840"
05/01/2018,"160.52","162.80","160.14","162.78","36,513,527"
04/30/2018,"162.48","163.48","160.54","160.94","35,615,273"
04/27/2018,"164.35","164.41","161.17","162.09","51,043,406"
04/26/2018,"160.72","162.53","160.18","161.99","43,005,527"
04/25/2018,"158.80","159.31","156.47","158.65","52,089,320"
04/24/2018,"162.62","162.91","157.39","158.46","70,256,750"
04/23/2018,"163.08","163.73","161.02","161.89","33,040,648"
04/20/2018,"164.49","164.61","161.73","162.30","49,197,141"
04/19/2018,"165.65","165.99","164.34","164.91","34,705,688"
04/18/2018,"166.12","167.00","165.31","166.44","29,573,881"
04/17/2018,"164.19","166.46","163.91","166.10","35,536,090"
04/16/2018,"162.45","163.19","161.48","162.60","28,180,779"
04/13/2018,"163.01","163.26","160.67","161.37","44,604,887"
04/12/2018,"161.30","162.77","161.16","162.21","30,467,891"
04/11/2018,"160.20","162.00","160.10","160.28","41,622,141"
04/10/2018,"160.13","161.73","159.07","161.21","48,601,320"
04/09/2018,"158.01","160.88","157.46","157.73","41,810,379"
04/06/2018,"158.94","160.46","155.88","156.63","59,870,871"
04/05/2018,"161.33","161.58","159.48","160.65","43,054,871"
04/04/2018,"154.27","160.23","154.04","159.74","65,768,688"
04/03/2018,"156.92","157.92","154.44","157.26","64,090,047"
04/02/2018,"159.00","159.74","153.88","155.51","85,549,438"
03/29/2018,"158.13","161.71","156.63","160.13","68,692,570"
03/28/2018,"158.25","159.78","156.04","157.25","89,369,664"
03/27/2018,"165.60","165.62","157.68","159.08","78,889,109"
03/26/2018,"161.68","164.60","159.16","164.40","57,481,500"
03/23/2018,"162.60","163.30","158.43","158.51","80,110,391"
03/22/2018,"164.70","165.77","162.59","162.80","66,607,289"
03/21/2018,"167.23","168.76","166.19","166.92","43,863,539"
03/20/2018,"167.10","168.04","166.61","167.65","34,075,660"
03/19/2018,"169.16","169.22","165.64","167.10","71,395,055"
03/16/2018,"171.78","172.20","170.94","171.02","31,176,740"
03/15/2018,"171.83","172.53","170.90","171.53","28,810,369"
03/14/2018,"172.58","172.74","170.93","171.68","40,536,379"
03/13/2018,"174.80","175.21","171.27","171.71","55,638,930"
03/12/2018,"173.65","174.48","173.28","174.08","37,634,969"
03/09/2018,"171.10","173.16","170.82","173.16","38,310,551"
03/08/2018,"169.54","169.98","168.95","169.86","25,828,369"
03/07/2018,"167.26","169.07","166.96","168.93","34,609,406"
03/06/2018,"168.61","169.11","167.48","168.54","29,480,930"
03/05/2018,"165.26","168.26","164.59","167.83","38,540,207"
03/02/2018,"162.59","166.28","161.96","165.99","57,445,059"
03/01/2018,"167.29","168.07","163.00","164.48","76,809,906"
02/28/2018,"169.25","169.80","167.10","167.21","42,936,328"
02/27/2018,"170.42","170.73","168.21","168.29","42,209,871"
02/26/2018,"168.93","170.40","168.82","170.40","39,266,660"
02/23/2018,"166.06","168.17","165.45","168.17","50,096,922"
02/22/2018,"165.54","166.42","164.38","164.80","37,074,406"
02/21/2018,"166.06","167.72","164.72","164.82","41,161,781"
02/20/2018,"164.39","166.68","164.31","165.29","36,785,633"
02/16/2018,"165.18","166.76","164.68","164.96","62,256,289"
02/15/2018,"164.14","165.70","162.44","165.70","51,633,887"
02/14/2018,"158.79","162.93","158.00","162.68","52,107,434"
02/13/2018,"157.98","160.01","157.72","159.69","31,785,600"
02/12/2018,"157.67","159.95","156.46","158.87","63,050,641"
02/09/2018,"155.66","157.24","150.13","156.10","113,836,602"
02/08/2018,"160.69","160.80","153.45","153.45","94,184,828"
02/07/2018,"161.79","163.55","160.20","160.21","91,028,328"
02/06/2018,"155.96","162.51","155.10","162.31","118,537,906"
02/05/2018,"163.13","165.75","158.00","158.12","105,372,203"
02/02/2018,"167.34","167.70","164.47","164.61","68,478,078"
02/01/2018,"168.12","169.73","167.42","167.96","38,037,879"
01/31/2018,"169.67","169.99","168.34","169.40","42,449,199"
01/30/2018,"168.55","169.42","167.82","168.70","44,987,688"
01/29/2018,"170.52","170.91","169.74","170.10","37,277,848"
01/26/2018,"169.27","170.95","168.96","170.93","32,038,180"
01/25/2018,"169.55","169.63","167.81","168.35","28,924,961"
01/24/2018,"169.81","170.24","167.44","168.41","54,287,379"
01/23/2018,"168.64","169.66","168.56","169.51","37,989,648"
01/22/2018,"166.27","168.12","166.09","168.12","26,081,391"
01/19/2018,"166.32","166.61","165.54","166.34","38,937,594"
01/18/2018,"165.55","166.20","165.14","165.82","26,432,170"
01/17/2018,"164.77","166.04","164.00","165.79","33,849,879"
01/16/2018,"165.55","166.42","163.53","164.02","41,231,848"
01/12/2018,"163.03","164.66","162.94","164.49","37,762,711"
01/11/2018,"162.48","163.30","162.21","163.29","20,473,520"
01/10/2018,"161.80","162.21","161.12","162.18","34,004,031"
01/09/2018,"162.85","163.04","162.07","162.56","24,782,449"
01/08/2018,"161.90","162.63","161.86","162.55","23,159,061"
01/05/2018,"161.04","162.03","160.77","161.92","26,992,340"
01/04/2018,"160.59","160.79","160.08","160.31","24,776,131"
01/03/2018,"158.61","160.17","158.61","160.03","29,383,561"
01/02/2018,"156.50","158.53","156.17","158.49","32,573,270"
12/29/2017,"156.90","156.90","155.70","155.76","33,185,961"
12/28/2017,"157.05","157.07","156.54","156.73","25,393,830"
12/27/2017,"156.52","156.96","156.39","156.54","22,388,189"
12/26/2017,"156.53","156.72","155.95","156.52","21,918,721"
12/22/2017,"157.31","157.43","156.95","157.37","23,330,439"
12/21/2017,"157.73","158.25","157.37","157.55","18,638,680"
12/20/2017,"158.25","158.28","156.91","157.53","38,972,602"
12/19/2017,"158.34","158.50","157.26","157.70","31,414,971"
12/18/2017,"158.29","158.77","158.07","158.64","26,844,520"
12/15/2017,"156.49","157.82","156.23","157.65","49,816,152"
12/14/2017,"156.28","156.66","155.71","155.88","24,594,680"
12/13/2017,"156.28","156.49","155.76","155.99","24,418,480"
12/12/2017,"155.81","156.15","155.36","155.69","20,310,250"
12/11/2017,"154.76","155.95","154.76","155.90","20,821,529"
12/08/2017,"155.10","155.53","154.46","154.70","28,081,670"
12/07/2017,"153.49","154.46","153.33","154.02","32,666,211"
12/06/2017,"152.26","153.74","152.06","153.50","28,647,770"
12/05/2017,"152.64","154.55","152.10","152.81","40,604,207"
12/04/2017,"155.47","155.63","152.56","152.71","51,319,152"
12/01/2017,"154.19","155.24","152.26","154.49","59,015,832"
11/30/2017,"154.46","155.45","154.15","155.15","56,595,473"
11/29/2017,"156.45","156.45","153.12","153.86","71,986,336"
11/28/2017,"156.52","156.69","155.70","156.59","25,227,320"
11/27/2017,"156.20","156.56","155.83","156.19","22,653,391"
11/24/2017,"155.86","156.31","155.76","156.26","8,280,586"
11/22/2017,"155.63","155.84","155.34","155.69","17,299,039"
11/21/2017,"154.56","155.57","154.49","155.50","20,147,760"
11/20/2017,"154.08","154.20","153.61","153.83","21,143,939"
11/17/2017,"154.58","154.69","153.80","153.95","28,725,801"
11/16/2017,"153.38","154.89","153.33","154.54","34,790,566"
11/15/2017,"152.61","153.00","151.78","152.59","24,808,000"
11/14/2017,"153.31","153.50","152.57","153.31","25,173,760"
11/13/2017,"153.12","154.07","153.10","153.87","12,522,400"
11/10/2017,"153.36","153.80","153.06","153.68","20,150,760"
