Date,Open,High,Low,Close,Volume
08/11/2014,"95.25","95.76","95.20","95.46","28,283,279"
08/08/2014,"94.38","95.01","93.97","94.90","40,238,379"
08/07/2014,"94.95","95.14","93.89","94.22","33,274,672"
08/06/2014,"93.99","95.11","93.92","94.52","34,431,910"
08/05/2014,"94.94","95.21","94.15","94.59","50,331,070"
08/04/2014,"94.90","95.69","94.52","95.32","33,230,539"
08/01/2014,"94.83","95.34","94.04","94.67","60,707,992"
07/31/2014,"96.20","96.34","94.88","95.02","50,047,930"
07/30/2014,"97.13","97.32","96.60","96.98","35,348,520"
07/29/2014,"96.97","97.20","96.52","96.60","27,022,230"
07/28/2014,"96.80","97.02","96.02","96.77","25,603,359"
07/25/2014,"96.65","96.87","96.23","96.74","29,903,631"
07/24/2014,"97.40","97.51","96.98","97.12","24,707,180"
07/23/2014,"96.94","97.34","96.77","97.23","28,947,461"
07/22/2014,"96.44","96.76","96.35","96.61","25,770,400"
07/21/2014,"95.92","96.16","95.55","96.00","29,754,811"
07/18/2014,"95.14","96.17","95.00","96.12","36,690,832"
07/17/2014,"95.63","95.97","94.32","94.62","43,111,512"
07/16/2014,"96.19","96.30","95.79","95.89","22,062,000"
07/15/2014,"95.98","96.13","94.83","95.51","39,480,121"
07/14/2014,"95.70","96.06","95.54","95.84","19,579,039"
07/11/2014,"94.87","95.27","94.61","95.27","19,570,391"
07/10/2014,"93.78","95.05","93.63","94.66","44,250,020"
07/09/2014,"94.51","95.07","94.24","94.96","29,928,320"
07/08/2014,"95.24","95.30","93.87","94.26","40,612,449"
07/07/2014,"95.59","95.71","95.23","95.41","23,266,430"
07/03/2014,"95.41","95.70","95.15","95.70","15,291,700"
07/02/2014,"94.98","95.24","94.91","95.10","18,784,391"
07/01/2014,"94.21","95.19","94.20","94.94","31,862,490"
06/30/2014,"93.71","94.14","93.67","93.91","19,764,920"
06/27/2014,"93.21","93.77","93.19","93.75","22,881,510"
06/26/2014,"93.35","93.36","92.62","93.34","22,572,170"
06/25/2014,"92.49","93.45","92.48","93.29","32,818,590"
06/24/2014,"92.79","93.57","92.43","92.70","31,945,760"
06/23/2014,"92.74","92.82","92.51","92.79","20,837,930"
06/20/2014,"92.70","92.87","92.53","92.77","25,897,490"
06/19/2014,"93.10","93.17","92.49","92.91","38,427,398"
06/18/2014,"92.55","93.10","91.98","92.97","34,514,008"
06/17/2014,"92.34","92.70","92.18","92.45","19,984,789"
06/16/2014,"92.16","92.67","91.96","92.40","25,218,561"
06/13/2014,"92.47","92.55","91.92","92.32","39,450,000"
06/12/2014,"92.69","92.79","91.73","92.05","35,275,848"
06/11/2014,"92.59","93.02","92.50","92.89","22,884,330"
06/10/2014,"92.67","92.96","92.56","92.91","20,635,289"
06/09/2014,"92.85","92.98","92.50","92.75","23,402,471"
06/06/2014,"92.66","92.82","92.45","92.82","22,680,641"
06/05/2014,"91.61","92.46","91.29","92.29","35,583,059"
06/04/2014,"90.96","91.67","90.81","91.52","20,128,260"
06/03/2014,"90.91","91.33","90.80","91.18","21,783,689"
06/02/2014,"91.43","91.44","90.64","91.22","30,415,410"
05/30/2014,"91.33","91.45","90.83","91.31","29,916,900"
05/29/2014,"91.05","91.31","90.86","91.30","33,036,102"
05/28/2014,"90.97","91.10","90.65","90.72","30,478,070"
05/27/2014,"90.28","91.02","90.20","91.00","29,725,230"
05/23/2014,"89.33","89.90","89.12","89.88","22,691,250"
05/22/2014,"88.94","89.48","88.80","89.23","30,617,090"
05/21/2014,"88.16","88.89","88.11","88.84","36,837,680"
05/20/2014,"88.28","88.60","87.64","88.00","33,715,953"
05/19/2014,"87.47","88.46","87.30","88.32","32,017,039"
05/16/2014,"87.24","87.76","86.64","87.71","66,807,320"
05/15/2014,"87.81","87.96","86.58","87.14","59,680,281"
05/14/2014,"88.03","88.35","87.62","87.83","26,483,570"
05/13/2014,"88.32","88.61","88.12","88.29","30,311,859"
05/12/2014,"87.31","88.26","87.24","88.23","38,951,059"
05/09/2014,"86.41","86.86","85.85","86.80","35,081,527"
05/08/2014,"86.26","87.53","86.05","86.48","46,556,871"
05/07/2014,"87.00","87.08","85.53","86.56","67,489,133"
05/06/2014,"87.83","87.86","86.77","86.81","33,698,551"
05/05/2014,"86.98","87.97","86.76","87.95","27,924,381"
05/02/2014,"87.94","88.11","87.28","87.49","40,074,152"
05/01/2014,"87.53","88.15","87.31","87.65","37,127,219"
04/30/2014,"86.79","87.48","86.54","87.39","38,689,406"
04/29/2014,"86.75","87.32","86.31","87.16","36,742,660"
04/28/2014,"86.58","87.11","85.11","86.47","58,623,801"
04/25/2014,"87.08","87.17","85.98","86.19","44,341,594"
04/24/2014,"88.20","88.21","86.65","87.59","48,926,262"
04/23/2014,"87.55","87.56","86.71","86.76","34,376,727"
04/22/2014,"87.10","87.75","86.99","87.53","38,593,406"
04/21/2014,"86.41","86.84","86.00","86.84","25,947,920"
04/17/2014,"85.89","86.63","85.63","86.20","53,719,449"
04/16/2014,"85.83","86.18","85.09","86.18","46,970,898"
04/15/2014,"85.06","85.54","83.28","85.05","84,631,523"
04/14/2014,"84.85","85.22","83.99","84.77","46,500,754"
04/11/2014,"84.34","85.44","83.91","84.11","93,657,430"
04/10/2014,"87.87","87.88","84.86","85.10","73,659,617"
04/09/2014,"86.67","87.87","86.43","87.82","45,685,230"
04/08/2014,"85.65","86.46","85.35","86.34","51,495,648"
04/07/2014,"85.84","86.63","84.95","85.55","83,995,766"
04/04/2014,"89.29","89.41","86.14","86.37","131,213,203"
04/03/2014,"89.55","89.68","88.22","88.73","30,319,070"
04/02/2014,"89.59","89.68","89.04","89.44","34,631,621"
04/01/2014,"88.10","89.27","87.71","89.21","38,683,840"
03/31/2014,"87.73","88.26","87.62","87.67","33,924,301"
03/28/2014,"87.15","88.01","86.81","87.05","39,895,070"
03/27/2014,"87.27","87.64","86.40","86.88","64,784,488"
03/26/2014,"88.96","89.15","87.36","87.37","40,930,441"
03/25/2014,"88.69","89.25","87.77","88.51","41,723,340"
03/24/2014,"89.32","89.39","87.41","88.22","77,735,312"
03/21/2014,"90.61","90.65","88.83","89.00","62,812,719"
03/20/2014,"89.78","90.56","89.58","90.29","31,634,539"
03/19/2014,"90.56","90.66","89.45","90.04","40,869,367"
03/18/2014,"89.55","90.64","89.53","90.53","31,250,240"
03/17/2014,"89.24","89.91","89.19","89.45","28,476,801"
03/14/2014,"88.99","89.38","88.63","88.67","38,738,770"
03/13/2014,"90.90","90.93","88.87","89.28","48,541,953"
03/12/2014,"89.82","90.61","89.48","90.56","27,997,221"
03/11/2014,"90.83","91.06","89.95","90.22","27,505,051"
03/10/2014,"90.48","90.66","90.03","90.61","18,138,199"
03/07/2014,"91.27","91.36","90.07","90.53","31,174,840"
03/06/2014,"91.25","91.34","90.65","90.98","24,086,221"
03/05/2014,"90.97","91.22","90.77","91.06","27,220,600"
03/04/2014,"90.63","90.98","90.56","90.81","33,213,910"
03/03/2014,"89.48","89.91","88.87","89.67","38,946,848"
02/28/2014,"90.41","90.96","89.54","90.34","48,623,160"
02/27/2014,"89.87","90.53","89.73","90.44","28,750,311"
02/26/2014,"90.57","90.84","89.87","90.23","42,968,328"
02/25/2014,"90.52","90.72","90.02","90.31","27,464,711"
02/24/2014,"90.10","90.82","90.04","90.41","31,517,520"
02/21/2014,"90.33","90.47","89.82","89.93","31,221,750"
02/20/2014,"89.70","90.22","89.31","90.05","41,833,207"
02/19/2014,"90.07","90.29","89.45","89.63","41,775,273"
02/18/2014,"89.93","90.42","89.74","90.25","29,614,391"
